id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount
,,,90557.0,36.0,,2.0,Sports,
66.0,,Male,,69.0,3.0,,Home & Garden,686.05
67.0,36.0,Female,,75.0,,7.0,Elec,
,,,87807.0,52.0,,41.0,,
,,Male,135861.0,,5.0,16.0,,
,49.0,Other,40936.0,,,49.0,,495.62
71.0,23.0,,,60.0,,18.0,,77.73
72.0,,Other,56120.0,30.0,3.0,50.0,,
,,,,,,5.0,Groceries,552.21
74.0,,,,,8.0,,Home & Garden,92.69
,,,143037.0,,,,Groceries,
,,,,68.0,8.0,,Home & Garden,522.95
77.0,,Male,,4.0,,36.0,,
78.0,,Other,44048.0,20.0,,10.0,,41.55
,,Other,,,3.0,,,
,,Other,45092.0,,,,,738.6
,65.0,Other,,90.0,,39.0,,
82.0,,,148542.0,,1.0,17.0,Groceries,15.66
,36.0,F,,94.0,8.0,15.0,,265.04
,56.0,Male,58971.0,77.0,,,,13.16
85.0,,,101100.0,,,14.0,,
86.0,,Other,,,6.0,31.0,Home & Garden,120.8
,,male,47990.0,,,48.0,Home & Garden,755.92
,31.0,,55100.0,20.0,,31.0,Sports,59.84
,,Other,105470.0,8.0,,4.0,Clothing,
90.0,,Other,63381.0,,,8.0,Home & Garden,
,,Other,92089.0,16.0,1.0,47.0,,209.86
92.0,39.0,Other,104031.0,,,,,
93.0,65.0,,,,,,,
,46.0,Other,113116.0,,,,,190.55
95.0,,Other,,,,,,670.87
96.0,23.0,Male,,46.0,10.0,21.0,Clothing,
,,,,31.0,,20.0,Elec,
,,,,99.0,9.0,,Clothing,674.7
,,,105024.0,45.0,,,Sports,795.84
100.0,,,59496.0,,2.0,,Clothing,
,,,115569.0,1.0,2.0,,,
,18.0,M,49346.0,70.0,7.0,38.0,,
103.0,,M,75430.0,,7.0,,Clothing,532.51
104.0,60.0,,142407.0,4.0,,,Sports,29.58
,20.0,,34982.0,,2.0,,,
106.0,,female,,,7.0,27.0,Elec,
,19.0,Other,37993.0,59.0,6.0,30.0,,873.8
108.0,65.0,Male,,72.0,9.0,21.0,,
109.0,,Female,81695.0,90.0,,44.0,Elec,179.8
,,,406760.0,86.0,,38.0,,
111.0,37.0,Male,111242.0,33.0,5.0,34.0,Sports,
112.0,,M,,85.0,7.0,20.0,,930.73
,,Male,82856.0,33.0,,20.0,,
,32.0,,35514.0,4.0,5.0,36.0,Sports,
115.0,64.0,M,,,5.0,,Elec,
116.0,,,125014.0,,7.0,,Home & Garden,451.82
,62.0,Male,128322.0,,4.0,,Elec,668.91
118.0,,M,48693.0,,,,Home & Garden,
119.0,,,,,,46.0,Groceries,
120.0,,F,78309.0,,,49.0,Clothing,848.14
,,Female,112072.0,50.0,5.0,21.0,Groceries,
,,,,,,,Elec,138.51
123.0,26.0,Other,55515.0,29.0,,37.0,,50.57
,30.0,,,94.0,,,Home & Garden,
125.0,66.0,Other,,,1.0,23.0,,960.08
126.0,,F,,,9.0,29.0,,
,58.0,M,,90.0,5.0,,,405.05
128.0,40.0,Other,,,,,Elec,370.75
,67.0,Other,,64.0,1.0,17.0,,957.06
,,F,,,7.0,26.0,Clothing,714.15
131.0,,,,70.0,,,Sports,
132.0,67.0,Female,116124.0,,,,,
133.0,,Other,,,,,,764.28
134.0,,,62131.0,91.0,,,,
135.0,29.0,female,100290.0,85.0,8.0,,,480.87
136.0,31.0,Male,,,10.0,37.0,,378.4
,,Male,81763.0,,,46.0,,179.25
138.0,,,120561.0,66.0,,21.0,Clothing,798.2
,,,99638.0,,,23.0,Groceries,
,,,78097.0,,,26.0,Clothing,
,,,,85.0,9.0,,Elec,
142.0,,,61695.0,,,,,
,55.0,Other,,,9.0,24.0,Groceries,624.81
,,Female,82613.0,49.0,3.0,,Home & Garden,421.24
145.0,,,,29.0,,,Elec,
146.0,,,90389.0,17.0,,,Elec,
147.0,69.0,male,,,,,,518.7
,47.0,Female,,91.0,,6.0,Home & Garden,979.41
,,,,89.0,,,Groceries,273.34
,54.0,,100745.0,,6.0,,Clothing,
,,,,,5.0,,Elec,
152.0,,Female,,20.0,,1.0,Home & Garden,215.41
,43.0,,,,,40.0,,711.04
,30.0,,,43.0,,,,
,,,,58.0,,32.0,,880.78
156.0,24.0,,,77.0,,,Home & Garden,
157.0,69.0,,51990.0,,,,,762.41
,,,46738.0,36.0,,,,
,58.0,,107818.0,70.0,,24.0,,722.18
160.0,,Other,,,,,,
161.0,69.0,,117782.0,18.0,,15.0,,
162.0,,,,,1.0,,Sports,
163.0,45.0,,76259.0,,,41.0,Sports,228.88
164.0,,Other,,37.0,8.0,,Sports,
165.0,64.0,,,,,,,
166.0,,female,48155.0,,10.0,36.0,,566.65
,18.0,Other,,61.0,10.0,,,18.6
168.0,,Other,,,9.0,,,14.52
,51.0,Female,58930.0,,5.0,33.0,Sports,115.09
,,Male,,,,39.0,,
,,,140801.0,,,43.0,Home & Garden,82.88
172.0,,,,,,34.0,,696.59
173.0,56.0,,,96.0,8.0,38.0,Home & Garden,631.06
174.0,,Other,66932.0,89.0,5.0,9.0,,861.66
,33.0,F,,86.0,,,,
,,Male,,62.0,2.0,,,
177.0,,,123680.0,,2.0,,Elec,
178.0,,,130300.0,,,27.0,Elec,
179.0,,,102050.0,57.0,,39.0,,263.93
,,,,,,,Home & Garden,624.36
181.0,,male,76202.0,83.0,3.0,,,208.79
,,,,,6.0,,Elec,
183.0,43.0,,32512.0,,4.0,49.0,,223.39
,27.0,,63313.0,8.0,,,Groceries,
185.0,41.0,Female,,,,27.0,Home & Garden,401.63
,40.0,,,,,,Groceries,426.62
187.0,35.0,,,,6.0,24.0,,111.27
188.0,55.0,,77060.0,,2.0,,Sports,286.79
,,,108335.0,,1.0,,Elec,940.93
190.0,,Other,,68.0,1.0,16.0,Elec,
191.0,35.0,,100208.0,,,27.0,Elec,
,,,,,,,Elec,
193.0,69.0,,,10.0,6.0,,,
,69.0,Male,74519.0,95.0,10.0,42.0,Clothing,
,,,31806.0,79.0,,13.0,Elec,261.07
196.0,,,,,6.0,,Home & Garden,
197.0,,female,561250.0,66.0,10.0,26.0,Home & Garden,610.66
198.0,39.0,,,,,,Groceries,
,45.0,,,30.0,,,Groceries,81.91
200.0,63.0,,,,9.0,,Clothing,
201.0,,,111788.0,28.0,9.0,,,628.43
202.0,25.0,Male,,16.0,8.0,,,971.09
,66.0,,,41.0,,9.0,Home & Garden,
,49.0,,,,6.0,,,436.43
,27.0,Male,132541.0,78.0,,42.0,Elec,825.01
,34.0,M,97962.0,18.0,3.0,19.0,Elec,947.73
207.0,58.0,Male,48714.0,,,40.0,,
,59.0,,,62.0,,,,
209.0,,female,,,,,,544.04
210.0,47.0,,93783.0,,10.0,3.0,Elec,
211.0,,Female,,,,,,
,,,,20.0,,41.0,Home & Garden,
213.0,,,121498.0,,9.0,28.0,Sports,706.37
,,,84883.0,,2.0,49.0,Home & Garden,956.03
215.0,69.0,,,,4.0,45.0,,
,26.0,,,27.0,5.0,,,761.08
217.0,46.0,Female,,,,,,635.93
218.0,,female,,,,,Elec,
,,Male,,82.0,9.0,,Clothing,563.64
,,male,,90.0,,,,559.73
221.0,62.0,,82623.0,,,37.0,,155.14
,67.0,,,3.0,2.0,,Clothing,
,,,,12.0,6.0,45.0,,915.02
224.0,51.0,,33665.0,12.0,2.0,,Groceries,
,54.0,,92156.0,,7.0,14.0,,238.87
,19.0,,,,,,Home & Garden,278.21
,65.0,Male,,,,,Elec,840.45
,53.0,Male,,27.0,7.0,,Home & Garden,345.62
229.0,,,52470.0,,5.0,,Groceries,
230.0,56.0,,31154.0,40.0,,,Elec,197.54
231.0,,,147572.0,44.0,7.0,45.0,,204.27
232.0,,,,,7.0,24.0,,
233.0,41.0,Female,,,,31.0,Groceries,212.53
,,Female,960660.0,,,,Sports,479.36
,19.0,,41542.0,21.0,1.0,,Groceries,
236.0,,,,,,31.0,Sports,
,,Other,,22.0,,14.0,,821.42
238.0,,,,,4.0,23.0,Groceries,949.32
239.0,64.0,,124599.0,41.0,9.0,,Groceries,
240.0,44.0,,121975.0,33.0,,,Groceries,640.96
,,,,50.0,8.0,,Sports,
,31.0,,,74.0,3.0,,Elec,947.76
243.0,25.0,Other,109583.0,,4.0,,,
244.0,47.0,,,,,19.0,,911.0
,28.0,Other,,,,,Home & Garden,922.01
246.0,44.0,male,,31.0,,32.0,Elec,
247.0,54.0,,48896.0,,9.0,,Sports,244.79
,,Other,48383.0,57.0,8.0,35.0,,
249.0,,,134743.0,98.0,9.0,,Sports,
,,,,,,,,21.43
,,,,27.0,10.0,30.0,Elec,
,,Other,,70.0,2.0,,Groceries,556.23
,,Other,129014.0,,7.0,21.0,Groceries,
254.0,66.0,Other,,98.0,,44.0,,
,,Other,,69.0,,,Clothing,150.58
256.0,,,38785.0,,,22.0,Clothing,486.25
257.0,,,134203.0,,,,,
,37.0,,,,3.0,,,
,,M,,,2.0,35.0,,
,39.0,,56381.0,,6.0,19.0,Sports,
,,,,96.0,,,,25.44
,,,45827.0,,,47.0,,599.66
,,Other,115366.0,,,,,
264.0,,female,,,,8.0,,
265.0,63.0,,,,,44.0,Clothing,
266.0,53.0,Other,84616.0,68.0,,,Home & Garden,
267.0,57.0,Female,114972.0,42.0,,,,
,,,101024.0,,,41.0,,484.85
,33.0,,118116.0,,9.0,,,21.9
270.0,,,,75.0,9.0,49.0,Elec,109.03
271.0,,M,,14.0,2.0,10.0,,874.32
,,Female,104033.0,6.0,,,Clothing,192.31
273.0,,,84117.0,74.0,9.0,,,
274.0,,Other,,68.0,,,Clothing,
275.0,,Other,128623.0,,,,Clothing,609.57
,39.0,,39931.0,43.0,,28.0,Groceries,261.36
,53.0,Other,,38.0,,,Clothing,
,,,,24.0,6.0,14.0,,
279.0,,,,63.0,,,,
,,,,96.0,,,Clothing,577.0
281.0,,,,46.0,4.0,42.0,,802.44
,,M,,9.0,,26.0,,835.06
,33.0,Male,,,9.0,,Elec,886.3
284.0,,Male,77006.0,,,36.0,,
285.0,,Female,121652.0,20.0,1.0,26.0,Sports,169.58
286.0,,Male,,66.0,,43.0,Clothing,184.8
,31.0,,119460.0,,,22.0,,486.21
288.0,56.0,M,117922.0,69.0,2.0,41.0,,
289.0,,,,70.0,,,,631.28
290.0,,M,64136.0,,1.0,19.0,Elec,
,45.0,,,32.0,6.0,,Clothing,
,,Other,38250.0,63.0,,,,
293.0,45.0,,,72.0,3.0,,,
,,Other,,,,,,547.85
,,Other,135713.0,,7.0,18.0,,
296.0,,,129611.0,,3.0,,Sports,98.85
297.0,,Male,,,,,Sports,
298.0,,Male,,,,,,
,,M,,,,31.0,Groceries,82.77
300.0,,,,38.0,,,Groceries,
301.0,,,106147.0,2.0,,19.0,,
302.0,,Other,,39.0,5.0,,Home & Garden,69.81
303.0,,,57745.0,33.0,7.0,42.0,Elec,
,50.0,,78296.0,93.0,9.0,,,
305.0,32.0,male,,,,,Sports,
306.0,48.0,,,,,,Sports,463.07
,,Other,,81.0,2.0,12.0,Home & Garden,
308.0,,,,,,,Elec,685.09
309.0,,Female,,44.0,4.0,,Groceries,
,,male,,,7.0,29.0,Sports,
311.0,,Male,138922.0,,,,Elec,
312.0,30.0,,,,,30.0,Sports,
,69.0,Other,35218.0,,,33.0,,315.49
,44.0,,,55.0,2.0,50.0,Groceries,
315.0,,Female,62971.0,27.0,,,,85.45
316.0,,,,47.0,2.0,,Elec,
,,Other,92363.0,,,10.0,,
,,Other,,,5.0,,Elec,
319.0,,Other,,,9.0,5.0,Home & Garden,
,34.0,Male,,43.0,5.0,40.0,Clothing,117.01
321.0,43.0,Female,,4.0,3.0,,,
,46.0,Other,,,,22.0,,
323.0,55.0,,80006.0,,,49.0,,
,30.0,M,119162.0,,9.0,,,
,41.0,,,,,32.0,,
,,,49020.0,100.0,2.0,,Groceries,
,,M,,,6.0,,,
,41.0,female,,,9.0,44.0,,488.07
329.0,,Other,76921.0,79.0,1.0,23.0,Groceries,
,,male,51087.0,,4.0,,Groceries,
,,,,,9.0,37.0,Groceries,
332.0,,Other,,,1.0,,,
333.0,,Other,,,,,,
334.0,58.0,,,,,9.0,Groceries,249.39
,60.0,male,,83.0,3.0,31.0,,53.26
,,Other,107488.0,96.0,7.0,16.0,Groceries,
,,male,60768.0,88.0,,,Groceries,
,,Other,,70.0,,,,592.52
339.0,28.0,Female,111697.0,92.0,,50.0,,205.58
340.0,48.0,Other,30374.0,,7.0,,Groceries,463.78
,,Other,,45.0,,,,
342.0,,,,,,,,532.23
343.0,32.0,,48445.0,,,27.0,,
344.0,,Male,,,5.0,,Home & Garden,
345.0,33.0,,112118.0,,,,Clothing,535.28
,,,,,7.0,,,26.72
,,Female,,,,20.0,Sports,
,39.0,female,,58.0,6.0,,Home & Garden,211.56
,,,32030.0,38.0,,,Sports,
,,,,44.0,7.0,,,326.5
351.0,68.0,Other,,,,,,
352.0,,,,,4.0,2.0,Elec,138.3
,,Other,120516.0,100.0,10.0,,,475.52
,63.0,Other,37003.0,,4.0,,,
,38.0,,,68.0,5.0,6.0,,
356.0,,,94627.0,,9.0,30.0,Clothing,
,,,103191.0,34.0,,41.0,Clothing,
,57.0,,137205.0,,1.0,21.0,,862.12
359.0,,,,,2.0,25.0,Groceries,910.52
360.0,,Male,40590.0,,7.0,,,
361.0,,,,98.0,5.0,,,612.09
362.0,21.0,male,107934.0,,,38.0,,533.18
363.0,,Other,149741.0,,4.0,,Home & Garden,
,,Other,,,,12.0,Sports,
,21.0,Other,90000.0,42.0,,23.0,Home & Garden,278.15
366.0,19.0,,105019.0,,,32.0,,735.3
,65.0,F,65576.0,91.0,5.0,,,
,53.0,F,130474.0,74.0,10.0,,Home & Garden,
,,,77411.0,20.0,,,Sports,
,23.0,,,,,,Elec,696.9
371.0,20.0,Male,87520.0,,4.0,3.0,Groceries,459.87
372.0,39.0,Female,,71.0,5.0,16.0,Sports,
,,Other,80320.0,91.0,1.0,31.0,Elec,930.97
,,,,69.0,,,,
,33.0,,,,,29.0,Groceries,826.87
,,,56110.0,36.0,5.0,42.0,,389.97
377.0,,Male,123037.0,100.0,1.0,9.0,Home & Garden,
,,,,,,32.0,Home & Garden,388.15
379.0,41.0,Female,30074.0,,8.0,,Clothing,
380.0,,Other,,75.0,2.0,6.0,,383.64
381.0,,,,56.0,,37.0,,
,,Other,,45.0,5.0,,,
383.0,65.0,,,,5.0,,,247.96
,46.0,,,1.0,,41.0,,329.9
385.0,,Male,,,,,Sports,
,,Male,105810.0,,,,,
387.0,51.0,,,49.0,9.0,9.0,,785.55
,,,100053.0,,5.0,33.0,Elec,832.57
389.0,,Other,,,,,,
390.0,,M,65343.0,89.0,3.0,2.0,,
391.0,67.0,female,101759.0,,3.0,19.0,Sports,
392.0,,Male,,60.0,,8.0,Home & Garden,
,55.0,Female,127542.0,,,,,632.6
,,female,,83.0,,11.0,Clothing,341.63
395.0,69.0,F,,40.0,8.0,,,
,,Other,,21.0,2.0,,Groceries,846.76
,23.0,,,,,31.0,Elec,
398.0,,M,36282.0,,,3.0,Sports,210.43
399.0,,female,69790.0,30.0,,,Groceries,596.63
,41.0,Female,1479620.0,,2.0,9.0,Clothing,
,32.0,Other,86268.0,96.0,3.0,,,643.36
,63.0,,,66.0,,,,
403.0,,Other,127948.0,,6.0,26.0,Groceries,144.78
404.0,,M,30121.0,,,,,
405.0,21.0,Male,42889.0,12.0,2.0,,,
406.0,29.0,,,,10.0,,,
,24.0,,,,,,Groceries,572.31
408.0,,,,,8.0,29.0,,831.6
,63.0,,,59.0,6.0,10.0,Home & Garden,
410.0,,F,,,5.0,,,902.24
,,,,,3.0,2.0,,114.47
412.0,61.0,,,34.0,,14.0,Clothing,937.86
413.0,,Female,105731.0,9.0,7.0,,,421.08
,,,,,,9.0,,
415.0,57.0,,52164.0,,,36.0,,
416.0,38.0,,51327.0,62.0,,,,
,52.0,,101105.0,,9.0,2.0,Home & Garden,714.72
,,,97565.0,48.0,10.0,,,656.9
419.0,64.0,,,40.0,4.0,,,487.73
,46.0,Male,,57.0,,,,
,46.0,F,90871.0,56.0,,,Clothing,
422.0,,Other,,46.0,7.0,12.0,Home & Garden,
423.0,,,96260.0,30.0,,45.0,,159.13
424.0,,,,46.0,,5.0,,394.49
,41.0,,67039.0,,,,Elec,178.68
,40.0,Other,142251.0,,,,,866.52
427.0,,,,,,,,
,54.0,,,24.0,3.0,,Groceries,824.65
,20.0,Male,,,,19.0,Elec,351.64
430.0,,,124369.0,74.0,,3.0,Home & Garden,275.4
431.0,,Male,99618.0,,,22.0,Groceries,
432.0,,Female,133291.0,,4.0,,Clothing,916.28
,,Female,,90.0,8.0,39.0,,769.0
,57.0,,,,6.0,,,984.6
,,female,,,1.0,9.0,,803.28
436.0,52.0,Other,136827.0,87.0,,20.0,Sports,
437.0,,,,,,20.0,,
438.0,47.0,,95033.0,25.0,,,Elec,273.38
439.0,,,118402.0,74.0,3.0,,,
,23.0,female,,,9.0,36.0,Sports,
441.0,46.0,Male,68970.0,50.0,,,,
,26.0,female,84460.0,45.0,,,,
,47.0,Other,1381990.0,,10.0,43.0,,
444.0,,Other,,,,35.0,,121.0
445.0,,female,75974.0,,,,,
446.0,,male,56570.0,29.0,7.0,37.0,,432.65
447.0,,Other,,,,,Groceries,782.58
448.0,,female,,72.0,7.0,2.0,,59.82
449.0,50.0,,46524.0,1.0,,7.0,,
,48.0,,,,,,Elec,
451.0,,,,,,,,434.84
452.0,45.0,,,,,,,391.45
,30.0,Male,35565.0,,,,Elec,238.79
,,Male,143992.0,31.0,2.0,32.0,Home & Garden,
455.0,28.0,,126571.0,,10.0,,Elec,26.12
456.0,61.0,,,,,,,604.29
457.0,30.0,Other,120083.0,,1.0,49.0,Elec,
,,,32827.0,,8.0,,,468.37
,30.0,Other,,96.0,2.0,5.0,,
,,,105647.0,94.0,1.0,14.0,Sports,737.91
,,M,,,4.0,,,
,57.0,Female,46563.0,,,24.0,Elec,800.46
463.0,,Male,,18.0,8.0,,,634.92
464.0,,,138529.0,,10.0,,Sports,461.61
,54.0,,40858.0,48.0,6.0,20.0,Clothing,34.88
466.0,69.0,Other,143640.0,,,2.0,Clothing,
467.0,25.0,Male,99668.0,1.0,1.0,,,
468.0,54.0,M,32276.0,73.0,2.0,,,
469.0,,,,,,,Groceries,863.93
470.0,,Other,,,6.0,39.0,,
,32.0,,,,,,,846.85
,,Other,42390.0,27.0,,41.0,Elec,781.31
,,,,42.0,4.0,34.0,,795.81
,54.0,,,,1.0,44.0,,
475.0,36.0,,,,,35.0,,
,38.0,Male,,,,28.0,Groceries,
477.0,,Male,,,,47.0,,
,48.0,,143424.0,,,22.0,Home & Garden,
,,Female,137836.0,19.0,,21.0,Elec,
,19.0,,35529.0,,4.0,24.0,Clothing,177.69
,,,,,9.0,37.0,,173.81
,,,120542.0,,,,,
,44.0,,,55.0,,,Groceries,
,,,,44.0,4.0,17.0,,
,65.0,,39113.0,,,,,964.87
,,,,,,,Clothing,10.4
487.0,22.0,female,,64.0,,,Home & Garden,151.48
488.0,,,124597.0,,,,,885.33
489.0,26.0,,,,,,Home & Garden,154.89
490.0,,,113254.0,,,,,
,22.0,Female,,70.0,,,,
,,,,100.0,8.0,49.0,Sports,
493.0,51.0,female,120616.0,,,16.0,,
494.0,,male,,24.0,,48.0,Sports,649.61
,59.0,,,,,,,917.5
496.0,33.0,,,,2.0,,,302.05
,,male,,48.0,,,Sports,
498.0,,,43308.0,,,50.0,Elec,
,,Male,,,7.0,40.0,Groceries,317.98
500.0,,,,16.0,,42.0,,
501.0,,M,129999.0,,5.0,,,942.97
,,Female,,,,20.0,Elec,
503.0,,M,75626.0,,,,Elec,154.67
,18.0,Other,,40.0,7.0,31.0,Elec,240.64
505.0,,,53863.0,96.0,,,Elec,
,66.0,,,79.0,4.0,8.0,Sports,334.95
,58.0,M,,,8.0,6.0,Sports,
508.0,48.0,Other,,85.0,8.0,13.0,Sports,
,,Other,,64.0,2.0,37.0,Sports,462.62
510.0,19.0,male,111238.0,,2.0,,,813.37
,,,,71.0,9.0,41.0,Sports,606.18
512.0,,male,132968.0,,10.0,,,
513.0,19.0,M,82506.0,,5.0,41.0,Sports,
,,Female,,,2.0,,,
515.0,28.0,,66961.0,,,22.0,Groceries,
516.0,32.0,,,95.0,,,Elec,
,18.0,Other,,9.0,3.0,11.0,Groceries,588.37
518.0,,,110280.0,85.0,,21.0,,944.07
,45.0,F,67753.0,,4.0,,Sports,926.69
520.0,38.0,,54918.0,1.0,6.0,,,979.26
,69.0,Other,78534.0,100.0,,9.0,,
,29.0,,,96.0,,13.0,Home & Garden,
523.0,,,,,,,Elec,923.37
524.0,47.0,,100338.0,,,,Elec,
,33.0,Female,90232.0,19.0,,,Clothing,255.08
,52.0,M,,,1.0,34.0,,534.25
,,F,,,3.0,,Sports,112.11
,23.0,,144577.0,,,9.0,Clothing,826.02
529.0,,,139366.0,,,,Sports,
,,Male,106944.0,63.0,1.0,,Sports,
,61.0,,92031.0,44.0,7.0,,,
,19.0,,,38.0,9.0,,Home & Garden,819.92
,36.0,Other,,74.0,,,,
,,,121073.0,,,16.0,Sports,
,46.0,,,,,3.0,,
536.0,62.0,Female,74474.0,49.0,2.0,18.0,,933.65
537.0,48.0,,57932.0,,9.0,44.0,,
538.0,39.0,Male,49970.0,,,24.0,Groceries,728.58
539.0,,,73823.0,11.0,8.0,23.0,,
540.0,36.0,,37595.0,88.0,,49.0,Groceries,
,33.0,Female,103063.0,16.0,3.0,4.0,,998.51
542.0,,Other,86860.0,,1.0,1.0,Clothing,
,68.0,,40478.0,,4.0,46.0,,
,,,126893.0,,,,,199.17
545.0,,,123168.0,80.0,4.0,19.0,Clothing,860.95
,,,112137.0,,,,Groceries,769.16
547.0,,Other,,,,24.0,Elec,
,,,93861.0,42.0,,6.0,,73.13
,,,,32.0,6.0,,Sports,
550.0,,M,,,,,,338.69
551.0,,,439650.0,,,,,
552.0,,Male,,100.0,,5.0,Clothing,889.83
,69.0,Male,51759.0,18.0,9.0,14.0,,563.48
554.0,,female,,78.0,,3.0,Home & Garden,
555.0,66.0,,53345.0,100.0,4.0,22.0,Sports,
,,,,,,14.0,,
557.0,,,95367.0,83.0,,,Home & Garden,845.33
558.0,40.0,Male,62536.0,84.0,4.0,28.0,,
559.0,,Male,121639.0,17.0,,28.0,Home & Garden,
,,,82296.0,,4.0,43.0,,
561.0,,,137276.0,,,8.0,Groceries,
,18.0,,143235.0,,,31.0,Groceries,
,,,143899.0,10.0,,,Groceries,361.81
,,Other,134923.0,18.0,3.0,31.0,,
,,,106635.0,85.0,10.0,30.0,,
566.0,29.0,,,56.0,,,,
,22.0,Other,,,7.0,,Elec,120.76
568.0,45.0,,41917.0,58.0,,5.0,Home & Garden,
569.0,,,,,6.0,24.0,Groceries,105.48
570.0,,,,,8.0,,,760.34
571.0,36.0,Female,,40.0,,6.0,,
572.0,19.0,,,95.0,,,,
573.0,40.0,,,6.0,8.0,,,
574.0,48.0,,93084.0,,7.0,,,
575.0,,,,62.0,2.0,,Clothing,962.9
,,,149256.0,,1.0,,,266.83
577.0,,,,,5.0,,,409.85
578.0,,M,43175.0,59.0,,,,363.86
,21.0,,,,10.0,12.0,,
,51.0,female,,,,,,215.92
,46.0,M,,,,,,766.26
582.0,,male,135968.0,,4.0,49.0,Elec,174.43
,,,,,3.0,,Home & Garden,626.82
,,,,,9.0,6.0,Clothing,
585.0,,Female,,6.0,,,Sports,706.18
,62.0,Other,147903.0,79.0,,22.0,,203.15
,20.0,Other,,80.0,2.0,,,
,,,55753.0,69.0,5.0,40.0,Home & Garden,772.89
589.0,,Other,,33.0,,15.0,Clothing,865.65
,33.0,male,,22.0,4.0,37.0,Sports,274.96
,53.0,M,108263.0,21.0,,,,734.48
,,M,100730.0,,5.0,,,
,62.0,Female,148501.0,41.0,,,,
,,Other,,,9.0,34.0,,324.11
,28.0,Other,61870.0,100.0,6.0,3.0,Groceries,728.67
596.0,,,,2.0,,29.0,Home & Garden,486.5
597.0,,M,132598.0,,7.0,,Home & Garden,930.91
598.0,56.0,Other,,58.0,,,,
,,Other,,95.0,4.0,28.0,,936.04
600.0,,,,76.0,,,,13.46
601.0,,,137854.0,33.0,,47.0,Groceries,
,20.0,M,,,5.0,,,495.49
,,,53219.0,,,,,
,,,64592.0,,,,,
,18.0,Female,144275.0,,9.0,,,141.72
,39.0,Male,48641.0,45.0,3.0,46.0,Home & Garden,
,30.0,Male,,88.0,5.0,,Home & Garden,
,,,67215.0,34.0,3.0,,,
,53.0,Other,96499.0,29.0,,,Elec,
610.0,,,,,,31.0,,
611.0,42.0,Female,,,4.0,40.0,,
,,,38271.0,39.0,10.0,,,
,,Other,53295.0,,,5.0,Home & Garden,
614.0,,,116106.0,,,,Clothing,25.86
,69.0,,,98.0,,35.0,,
